-12.0,"[[ 0.786  0.000  0.000  0.000  0.618  0.000 -0.000 -0.000]
 [-0.000  0.786  0.000  0.000 -0.000  0.618 -0.000  0.000]
 [ 0.000 -0.000  0.786  0.000 -0.000 -0.000 -0.618 -0.000]
 [-0.000  0.000 -0.000  0.786  0.000 -0.000  0.000 -0.618]
 [-0.594  0.000  0.000  0.000  0.805 -0.000 -0.000 -0.000]
 [-0.000 -0.591  0.000  0.000  0.000  0.807 -0.000 -0.000]
 [-0.000 -0.000  0.594  0.000  0.000 -0.000  0.805 -0.000]
 [-0.000  0.000  0.000  0.591  0.000 -0.000 -0.000  0.807]]"
-11.0,"[[ 0.786  0.000 -0.000  0.000  0.618  0.000  0.000 -0.000]
 [-0.000  0.786  0.000 -0.000 -0.000  0.618 -0.000  0.000]
 [ 0.000  0.000  0.786 -0.000  0.000  0.000 -0.618  0.000]
 [-0.000  0.000  0.000  0.786 -0.000  0.000 -0.000 -0.618]
 [-0.594  0.000 -0.000  0.000  0.805  0.000  0.000 -0.000]
 [-0.000 -0.591 -0.000 -0.000  0.000  0.807 -0.000  0.000]
 [ 0.000  0.000  0.594 -0.000 -0.000  0.000  0.805  0.000]
 [-0.000  0.000 -0.000  0.591  0.000  0.000  0.000  0.807]]"
-10.0,"[[ 0.786 -0.000 -0.000  0.000 -0.618  0.000  0.000  0.000]
 [-0.000  0.786  0.000 -0.000 -0.000 -0.618  0.000 -0.000]
 [-0.000 -0.000  0.786 -0.000 -0.000  0.000  0.618 -0.000]
 [-0.000  0.000  0.000  0.786 -0.000 -0.000 -0.000  0.618]
 [ 0.594 -0.000  0.000 -0.000  0.805 -0.000 -0.000 -0.000]
 [ 0.000  0.591  0.000 -0.000  0.000  0.807  0.000  0.000]
 [-0.000 -0.000 -0.594 -0.000  0.000 -0.000  0.805  0.000]
 [ 0.000 -0.000 -0.000 -0.591  0.000  0.000  0.000  0.807]]"
-9.0,"[[ 0.786  0.000  0.000 -0.000  0.618  0.000 -0.000  0.000]
 [-0.000  0.786 -0.000 -0.000 -0.000  0.618  0.000  0.000]
 [ 0.000  0.000  0.786  0.000 -0.000  0.000 -0.618 -0.000]
 [ 0.000 -0.000 -0.000  0.786 -0.000  0.000  0.000 -0.618]
 [-0.594 -0.000  0.000 -0.000  0.805 -0.000 -0.000  0.000]
 [ 0.000 -0.591  0.000  0.000 -0.000  0.807  0.000 -0.000]
 [-0.000  0.000  0.594  0.000  0.000 -0.000  0.805  0.000]
 [ 0.000 -0.000  0.000  0.591 -0.000  0.000 -0.000  0.807]]"
-8.0,"[[ 0.786  0.000  0.000  0.000 -0.618 -0.000  0.000  0.000]
 [-0.000 -0.000  0.786  0.000 -0.000  0.000  0.618  0.000]
 [-0.000  0.786  0.000 -0.000  0.000 -0.618  0.000  0.000]
 [-0.000 -0.000 -0.000  0.786  0.000  0.000 -0.000  0.618]
 [ 0.594 -0.000 -0.000 -0.000  0.805  0.000 -0.000 -0.000]
 [-0.000  0.591  0.000  0.000 -0.000  0.807 -0.000  0.000]
 [-0.000  0.000 -0.594  0.000 -0.000 -0.000  0.805  0.000]
 [-0.000 -0.000 -0.000 -0.591 -0.000 -0.000  0.000  0.807]]"
-7.0,"[[ 0.786  0.000  0.000 -0.000 -0.618 -0.000  0.000 -0.000]
 [-0.000 -0.000  0.786 -0.000  0.000  0.000  0.618  0.000]
 [-0.000  0.786  0.000  0.000  0.000 -0.618  0.000  0.000]
 [-0.000 -0.000  0.000  0.786 -0.000  0.000  0.000  0.618]
 [ 0.594 -0.000 -0.000  0.000  0.805  0.000 -0.000  0.000]
 [ 0.000  0.591  0.000 -0.000  0.000  0.807 -0.000 -0.000]
 [ 0.000  0.000 -0.594  0.000 -0.000  0.000  0.805  0.000]
 [-0.000  0.000  0.000 -0.591 -0.000  0.000 -0.000  0.807]]"
-6.0,"[[ 0.786 -0.000  0.000  0.000  0.618 -0.000 -0.000 -0.000]
 [-0.000 -0.000  0.786  0.000 -0.000 -0.000 -0.618 -0.000]
 [ 0.000  0.786  0.000  0.000  0.000  0.618 -0.000 -0.000]
 [ 0.000 -0.000 -0.000  0.786  0.000 -0.000  0.000 -0.618]
 [-0.594 -0.000 -0.000  0.000  0.805 -0.000  0.000 -0.000]
 [ 0.000 -0.591 -0.000  0.000 -0.000  0.807 -0.000 -0.000]
 [-0.000 -0.000  0.594 -0.000  0.000  0.000  0.805  0.000]
 [-0.000  0.000 -0.000  0.591 -0.000 -0.000 -0.000  0.807]]"
-5.0,"[[ 0.786  0.000 -0.000  0.000  0.618  0.000  0.000 -0.000]
 [ 0.000 -0.000  0.786  0.000  0.000  0.000 -0.618 -0.000]
 [-0.000  0.786 -0.000 -0.000 -0.000  0.618  0.000  0.000]
 [ 0.000  0.000 -0.000  0.786 -0.000  0.000 -0.000 -0.618]
 [-0.594  0.000  0.000  0.000  0.805  0.000 -0.000 -0.000]
 [ 0.000  0.000  0.594 -0.000 -0.000 -0.000  0.805  0.000]
 [-0.000 -0.591  0.000  0.000 -0.000  0.807  0.000  0.000]
 [ 0.000  0.000 -0.000  0.591 -0.000 -0.000 -0.000  0.807]]"
-4.0,"[[ 0.786  0.000 -0.000 -0.000  0.618 -0.000  0.000  0.000]
 [ 0.000 -0.000  0.786  0.000  0.000 -0.000 -0.618 -0.000]
 [-0.000  0.786  0.000 -0.000 -0.000  0.618 -0.000  0.000]
 [-0.000  0.000 -0.000  0.786  0.000  0.000 -0.000 -0.618]
 [-0.594  0.000 -0.000 -0.000  0.805 -0.000  0.000  0.000]
 [-0.000 -0.000  0.594  0.000  0.000  0.000  0.805  0.000]
 [ 0.000 -0.591  0.000  0.000 -0.000  0.807  0.000  0.000]
 [ 0.000  0.000 -0.000  0.591  0.000 -0.000 -0.000  0.807]]"
-3.0,"[[ 0.786  0.000  0.000  0.000  0.618 -0.000 -0.000 -0.000]
 [-0.000 -0.000  0.786 -0.000 -0.000 -0.000 -0.618 -0.000]
 [-0.000  0.786  0.000  0.000 -0.000  0.618  0.000 -0.000]
 [ 0.000 -0.000 -0.000  0.786 -0.000 -0.000 -0.000 -0.618]
 [-0.594 -0.000 -0.000  0.000  0.805  0.000 -0.000 -0.000]
 [ 0.000 -0.000  0.594  0.000 -0.000  0.000  0.805  0.000]
 [ 0.000 -0.591  0.000 -0.000 -0.000  0.807  0.000  0.000]
 [-0.000  0.000 -0.000  0.591  0.000  0.000 -0.000  0.807]]"
